Location,"2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,019","2,022", Grand Total ,,Difference between 2022 and 2019
 Grand Total ,"62,650,110","93,459,437","90,571,965","102,215,521","117,389,820","130,693,361","30,807,484","23,906,465","399,054","652,093,217",,
 Town Hall (West) ,"8,615,882","12,731,642","13,033,407","13,811,639","12,983,375","10,152,762","2,216,292","1,091,218","280,885","74,917,102",,"810,333"
 Melbourne Central ,"5,835,513","9,205,089","9,812,728","10,583,007","10,999,364","8,790,736","1,683,593","912,769","52,773","57,875,572",,"859,996"
 Victoria Point ,"1,237,564","2,013,316","1,715,966","1,555,521","1,036,978","819,554","206,308","137,480","46,870","8,769,557",,"90,610"
 New Quay ,"1,162,416","1,678,001","1,545,499","1,561,855","1,138,173","1,383,530","346,464","175,426","18,335","9,009,699",,"157,091"
 State Library - New ,,,,,,,,,191,191,,
 Alfred Place ,,,,,,"275,754","270,961","25,700",,"572,415",,
 Australia on Collins ,"4,067,620","6,173,449","6,408,612","6,249,264","6,313,909","3,022,549",,,,"32,235,403",,
 Birrarung Marr ,"522,234","1,491,978","1,583,127","3,038,859","2,596,713","959,622","835,439","331,532",,"11,359,504",,
 Bourke St - Spencer St (North) ,,,,,,,,"603,555",,"603,555",,
 Bourke St Bridge ,,,,,,,,"547,065",,"547,065",,
 Bourke Street Mall (North) ,"5,464,331","6,097,336","443,595","9,306,235","9,974,927","6,304,107","337,475","1,052,374",,"38,980,380",,
 Bourke Street Mall (South) ,"6,492,917","9,884,224","11,005,930","10,073,128","9,626,670","7,552,740","1,493,757","758,414",,"56,887,780",,
 Bourke St-Russell St (West) ,,,,,"1,660,889","3,540,755","777,527","479,313",,"6,458,484",,
 Chinatown-Lt Bourke St (South) ,,,,,"1,005,900","2,465,890","494,409","298,458",,"4,264,657",,
 Chinatown-Swanston St (North) ,,,,,"1,328,158","3,473,768","759,091","449,605",,"6,010,622",,
 City Square ,,,,,"395,993","7,007,712","1,545,163",,,"8,948,868",,
 Collins Place (North) ,"2,190,101","3,253,592","3,150,368","2,997,216","2,917,074","2,222,401","446,658","256,047",,"17,433,457",,
 Collins Place (South) ,"2,665,522","4,043,647","4,185,803","4,023,223","3,695,274","3,021,432","639,219","379,050",,"22,653,170",,
 Collins St (North) ,,,,,,,,"567,597",,"567,597",,
 Elizabeth St-La Trobe St (East) ,,,,,,,,"722,778",,"722,778",,
 Elizabeth St-Lonsdale St (South) ,,,,,,,,"332,536",,"332,536",,
 Faraday St-Lygon St (West) ,,,,,,,,"208,466",,"208,466",,
 Flagstaff Station ,"4,239,661","6,206,426","6,298,393","6,273,833","6,328,909","4,919,609","993,778",,,"35,260,609",,
 Flinders La-Swanston St (West) ,,,,,,,,"1,142,914",,"1,142,914",,
 Flinders St-Elizabeth St (East) ,,,,,"4,138,321","9,853,197","2,147,376","1,327,605",,"17,466,499",,
 Flinders Street Station Underpass ,"5,842,356","8,864,938","9,756,492","9,597,616","7,472,441","5,869,807","1,519,196","1,117,919",,"50,040,765",,
 Flinders St-Spark La ,,,,,,"402,513","217,622","101,886",,"722,021",,
 Flinders St-Spring St (West) ,,,,,,"488,266","170,010",,,"658,276",,
 Flinders St-Swanston St (West) ,,,,,,,"3,359,184",,,"3,359,184",,
 Grattan St-Swanston St (West) ,,,,,,,,"164,362",,"164,362",,
 La Trobe St (North) ,,,,,,,,"108,886",,"108,886",,
 Lincoln-Swanston(West) ,,,,,,,,"94,801",,"94,801",,
 Little Collins St-Swanston St (East) ,,,,,,,,"682,911",,"682,911",,
 Lonsdale St - Elizabeth St (North) ,,,,,,,,"199,207",,"199,207",,
 Lonsdale St (South) ,,,,,"581,142","2,973,321","673,318","396,071",,"4,623,852",,
 Lonsdale St-Spring St (West) ,,,,,,,"288,957","219,005",,"507,962",,
 Lygon St (East) ,,,,,,,"106,478","120,776",,"227,254",,
 Lygon St (West) ,,,,,"771,708","2,239,055","491,097","193,641",,"3,695,501",,
 Melbourne Central-Elizabeth St (East) ,,,,,,,,"740,844",,"740,844",,
 Melbourne Convention Exhibition Centre ,,,,,"1,248,714","2,781,674","649,267","537,345",,"5,217,000",,
 Monash Rd-Swanston St (West) ,,,,,,,,"85,672",,"85,672",,
 Pelham St (S) ,,,,,,,,"67,702",,"67,702",,
 Princes Bridge ,"5,620,788","7,933,228","7,334,278","7,842,536","8,715,313","6,940,047","1,683,893","731,238",,"46,801,321",,
 Queen St (West) ,,,,,,,"262,834","244,660",,"507,494",,
 QV Market-Elizabeth St (West) ,,,,,"1,168,091","3,571,587","749,107","431,531",,"5,920,316",,
 QV Market-Peel St ,,,,,"352,500","821,417","184,331","91,962",,"1,450,210",,
 QVM-Franklin St (North) ,,,,,,,,"96,763",,"96,763",,
 QVM-Queen St (East) ,,,,,,,,"210,003",,"210,003",,
 QVM-Therry St (South) ,,,,,,,,"138,599",,"138,599",,
 Sandridge Bridge ,"1,971,441","2,793,122","2,957,374","2,985,531","3,181,800","2,564,581","622,338","263,417",,"17,339,604",,
 Southbank ,,,,,,,,"799,517",,"799,517",,
 Southern Cross Station ,"1,580,711","3,113,617","3,274,532","3,868,156","4,424,572","3,316,611","597,769","538,022",,"20,713,990",,
 Spencer St-Collins St (North) ,,,,,"2,097,588","5,828,413","1,320,840","1,064,788",,"10,311,629",,
 Spencer St-Collins St (South) ,,,,,"724,545","1,543,313","382,469","305,986",,"2,956,313",,
 St Kilda Rd-Alexandra Gardens ,,,,,"981,481","2,441,972","634,934","327,392",,"4,385,779",,
 State Library ,"4,121,201","6,001,068","6,058,523","6,335,684","5,174,548","5,701,807","29,374","584,114",,"34,006,319",,
 Swanston St - RMIT Building 14 ,,,,,,,,"326,468",,"326,468",,
 Swanston St - RMIT Building 80 ,,,,,,,,"97,604",,"97,604",,
 The Arts Centre ,,,,,"2,024,835","5,595,307","1,270,763","790,646",,"9,681,551",,
 Tin Alley-Swanston St (West) ,,,,,,,,"47,449",,"47,449",,
 Waterfront City ,"694,923","1,062,188","908,858","864,356","907,943","738,644","198,439","40,163",,"5,415,514",,
 Webb Bridge ,"324,929","912,576","1,098,480","1,247,862","1,421,972","1,108,908","201,754","145,213",,"6,461,694",,
